feature,family,mean_ic,t_stat,sign_consistent_windows,status,excluded_reason
abnormal_off_exchange_shorting,shorting,,,0,FAIL,data_source_block
above_20dma,technical,-0.013679,-2.561619,8,FAIL,
accruals,fundamental,,,0,FAIL,family_not_in_horizon
adx_14,technical,0.000274,0.067512,6,FAIL,
amihud,technical,0.028928,6.003885,8,PASS,
analyst_coverage,analyst,-0.008603,-0.062859,1,FAIL,
asset_growth,fundamental,,,0,FAIL,family_not_in_horizon
atr_14,technical,0.052325,5.396919,8,PASS,
bb_position,technical,-0.014921,-2.474369,8,FAIL,
bb_width,technical,0.030919,4.309634,8,PASS,
breadth_momentum,composite,,,0,FAIL,
breadth_pct_above_20dma,composite,-0.013545,-2.473104,8,FAIL,
cci_20,technical,-0.015386,-2.582935,9,PASS,
close_to_vwap,intraday,-0.00581,-0.844243,4,FAIL,
consensus_upside,analyst_proxy,0.004195,0.344437,4,FAIL,
coverage_change_proxy,analyst_proxy,,,0,FAIL,feature_not_applicable_to_horizon
credit_spread,macro,,,0,FAIL,family_not_in_horizon
credit_spread_change,macro,,,0,FAIL,family_not_in_horizon
credit_widening_x_leverage,composite,-0.01137,-2.050252,8,FAIL,
crowding_unwind_risk,short_interest,,,0,FAIL,family_not_in_horizon
current_ratio,fundamental,,,0,FAIL,family_not_in_horizon
curve_inverted_x_growth,composite,0.011868,1.030409,3,FAIL,
days_since_last_10k,sec_filing,-0.006042,-1.9757,7,FAIL,
days_since_last_10q,sec_filing,-0.001338,-0.456595,5,FAIL,
days_since_last_8k,sec_filing,0.010979,3.946221,7,FAIL,
debt_to_equity,fundamental,,,0,FAIL,family_not_in_horizon
dividend_yield,fundamental,,,0,FAIL,family_not_in_horizon
downgrade_count,analyst_proxy,0.006156,2.149385,8,FAIL,
earnings_beat_recency,earnings,-0.003347,-1.039405,7,FAIL,
earnings_beat_recency_30d,earnings,-0.003347,-1.039405,7,FAIL,
earnings_beat_streak,earnings,-0.001753,-0.501513,7,FAIL,
earnings_growth_yoy,fundamental,,,0,FAIL,family_not_in_horizon
earnings_surprise_avg_4q,earnings,0.008784,2.634735,7,FAIL,
earnings_surprise_latest,earnings,0.01329,4.15924,9,FAIL,
earnings_surprise_recency,earnings,0.00871,2.828535,9,FAIL,
earnings_surprise_recency_20d,earnings,0.007946,2.626921,8,FAIL,
eps_revision_direction,analyst,-0.004095,-1.716923,4,FAIL,
eps_surprise,fundamental,,,0,FAIL,family_not_in_horizon
ev_ebitda,fundamental,,,0,FAIL,family_not_in_horizon
fcf_mom_20d,composite,-0.015173,-2.930668,8,PASS,
fcf_yield,fundamental,,,0,FAIL,family_not_in_horizon
ffr,macro,,,0,FAIL,family_not_in_horizon
filing_burst_20d,sec_filing,-0.007399,-2.730011,6,FAIL,
financial_health_trend,analyst_proxy,,,0,FAIL,feature_not_applicable_to_horizon
gap_pct,intraday,0.022563,6.879665,9,PASS,
gk_vol,technical,0.048003,5.360481,7,PASS,
