feature,family,mean_ic,t_stat,sign_consistent_windows,status,excluded_reason
abnormal_off_exchange_shorting,shorting,,,0,FAIL,data_source_block
above_20dma,technical,-0.01587,-2.709739,9,PASS,
accruals,fundamental,,,0,FAIL,family_not_in_horizon
adx_14,technical,-0.002143,-0.459705,5,FAIL,
amihud,technical,0.016777,3.63552,8,PASS,
analyst_coverage,analyst,,,0,FAIL,family_not_in_horizon
asset_growth,fundamental,,,0,FAIL,family_not_in_horizon
atr_14,technical,0.02645,2.584452,9,PASS,
bb_position,technical,-0.016126,-2.434974,9,PASS,
bb_width,technical,0.013705,1.871976,9,FAIL,
breadth_momentum,composite,,,0,FAIL,
breadth_pct_above_20dma,composite,-0.016207,-2.686391,9,PASS,
cci_20,technical,-0.016253,-2.46538,10,PASS,
close_to_vwap,intraday,-0.010582,-1.566583,8,FAIL,
consensus_upside,analyst_proxy,,,0,FAIL,family_not_in_horizon
coverage_change_proxy,analyst_proxy,,,0,FAIL,family_not_in_horizon
credit_spread,macro,,,0,FAIL,family_not_in_horizon
credit_spread_change,macro,,,0,FAIL,family_not_in_horizon
credit_widening_x_leverage,composite,-0.008273,-1.37024,6,FAIL,
crowding_unwind_risk,short_interest,,,0,FAIL,family_not_in_horizon
current_ratio,fundamental,,,0,FAIL,family_not_in_horizon
curve_inverted_x_growth,composite,0.005394,0.545346,3,FAIL,
days_since_last_10k,sec_filing,,,0,FAIL,family_not_in_horizon
days_since_last_10q,sec_filing,,,0,FAIL,family_not_in_horizon
days_since_last_8k,sec_filing,,,0,FAIL,family_not_in_horizon
debt_to_equity,fundamental,,,0,FAIL,family_not_in_horizon
dividend_yield,fundamental,,,0,FAIL,family_not_in_horizon
downgrade_count,analyst_proxy,,,0,FAIL,family_not_in_horizon
earnings_beat_recency,earnings,-0.0012,-0.375003,6,FAIL,
earnings_beat_recency_30d,earnings,-0.0012,-0.375003,6,FAIL,
earnings_beat_streak,earnings,0.000307,0.091172,6,FAIL,
earnings_growth_yoy,fundamental,,,0,FAIL,family_not_in_horizon
earnings_surprise_avg_4q,earnings,0.007378,2.088255,7,FAIL,
earnings_surprise_latest,earnings,0.007927,2.489435,8,FAIL,
earnings_surprise_recency,earnings,0.004625,1.511535,8,FAIL,
earnings_surprise_recency_20d,earnings,0.003791,1.245462,8,FAIL,
eps_revision_direction,analyst,,,0,FAIL,family_not_in_horizon
eps_surprise,fundamental,,,0,FAIL,family_not_in_horizon
ev_ebitda,fundamental,,,0,FAIL,family_not_in_horizon
fcf_mom_20d,composite,-0.012226,-2.479726,8,FAIL,
fcf_yield,fundamental,,,0,FAIL,family_not_in_horizon
ffr,macro,,,0,FAIL,family_not_in_horizon
filing_burst_20d,sec_filing,,,0,FAIL,family_not_in_horizon
financial_health_trend,analyst_proxy,,,0,FAIL,family_not_in_horizon
gap_pct,intraday,0.013353,3.848106,10,FAIL,
gk_vol,technical,0.023444,2.483048,8,PASS,
gross_margin,fundamental,,,0,FAIL,family_not_in_horizon
has_recent_8k_5d,sec_filing,,,0,FAIL,family_not_in_horizon
high_52w_ratio,technical,-0.014783,-1.665629,8,FAIL,
high_vix_x_beta,composite,0.017295,0.920907,6,FAIL,
idio_vol,technical,0.018873,2.144372,8,PASS,
insider_abnormal_buy_90d,insider,,,0,FAIL,family_not_in_horizon
insider_buy_intensity_20d,insider,,,0,FAIL,family_not_in_horizon
insider_buy_value,insider,,,0,FAIL,family_not_in_horizon
insider_cluster_buy,insider,,,0,FAIL,family_not_in_horizon
insider_cluster_buy_30d_w,insider,,,0,FAIL,family_not_in_horizon
insider_net_buy_ratio,insider,,,0,FAIL,family_not_in_horizon
insider_net_intensity_60d,insider,,,0,FAIL,family_not_in_horizon
insider_role_skew_30d,insider,,,0,FAIL,family_not_in_horizon
intraday_ret,intraday,-0.010754,-1.481992,9,FAIL,
large_trade_ratio,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
last_30m_ret,intraday,-0.00727,-1.202075,8,FAIL,
late_day_aggressiveness,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
leverage_vol_20d,composite,0.005252,1.298249,7,FAIL,
liquidity_momentum,composite,-0.019158,-2.636745,10,PASS,
low_52w_ratio,technical,0.005488,0.717493,5,FAIL,
macd_histogram,technical,-0.016462,-2.592044,7,PASS,
macd_signal,technical,-0.015201,-2.295317,7,PASS,
macro_risk_on,composite,,,0,FAIL,
margin_quality_combo,composite,0.000524,0.115096,5,FAIL,
market_ret_20d,macro,,,0,FAIL,family_not_in_horizon
mean_reversion_combo,composite,-0.013649,-2.214213,9,FAIL,
mom_vol_adj_20d,composite,-0.016913,-2.479833,9,PASS,
mom_vol_adj_60d,composite,-0.010937,-1.439031,8,FAIL,
momentum_rank_20d,technical,-0.018702,-2.538264,10,PASS,
momentum_rank_60d,technical,-0.009911,-1.251397,9,FAIL,
narrow_leadership_score,composite,0.009584,1.21482,7,FAIL,
net_grade_change_20d,analyst_proxy,,,0,FAIL,family_not_in_horizon
net_grade_change_5d,analyst_proxy,,,0,FAIL,family_not_in_horizon
net_grade_change_60d,analyst_proxy,,,0,FAIL,family_not_in_horizon
obv_slope,technical,-0.01039,-2.106388,9,FAIL,
off_exchange_volume_ratio,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
offhours_trade_ratio,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
open_30m_ret,intraday,0.00395,0.577489,5,FAIL,
operating_margin,fundamental,,,0,FAIL,family_not_in_horizon
overnight_gap,daily,-0.008691,-1.184614,6,FAIL,
overnight_ret,intraday,0.013353,3.848106,10,FAIL,
pb_ratio,fundamental,,,0,FAIL,family_not_in_horizon
pe_ratio,fundamental,,,0,FAIL,family_not_in_horizon
pead_setup,earnings,-0.003534,-0.910454,5,FAIL,
profitability_combo,composite,0.002804,0.609761,5,FAIL,
ps_ratio,fundamental,,,0,FAIL,family_not_in_horizon
quality_value_roa_pe,composite,0.000829,0.126967,7,FAIL,
quality_value_roe_pb,composite,-0.006536,-1.022682,5,FAIL,
realized_vol_1d,intraday,0.017616,1.743868,10,FAIL,
recent_8k_count_20d,sec_filing,,,0,FAIL,family_not_in_horizon
recent_8k_count_5d,sec_filing,,,0,FAIL,family_not_in_horizon
recent_8k_count_60d,sec_filing,,,0,FAIL,family_not_in_horizon
residual_momentum,technical,-0.012525,-1.646254,9,FAIL,
residual_ret_10d,technical,-0.009666,-1.273812,7,FAIL,
residual_ret_5d,technical,-0.010926,-1.413461,5,FAIL,
ret_10d,technical,-0.01486,-1.984464,9,FAIL,
ret_20d,technical,-0.018702,-2.538264,10,PASS,
ret_5d,technical,-0.01195,-1.591583,7,FAIL,
ret_60d,technical,-0.009911,-1.251397,9,FAIL,
ret_vol_interaction_20d,composite,-0.019158,-2.636745,10,PASS,
ret_vol_interaction_60d,composite,-0.010793,-1.373085,8,FAIL,
return_dispersion_20d,composite,-0.020437,-2.624583,10,PASS,
revenue_growth_yoy,fundamental,,,0,FAIL,family_not_in_horizon
revenue_revision_pct,analyst,,,0,FAIL,family_not_in_horizon
risk_sentiment,composite,,,0,FAIL,
roa,fundamental,,,0,FAIL,family_not_in_horizon
roe,fundamental,,,0,FAIL,family_not_in_horizon
rsi_14,technical,-0.017722,-2.467937,10,PASS,
rsi_28,technical,-0.01676,-2.217671,10,PASS,
sector_pressure,sector_rotation,,,0,FAIL,family_not_in_horizon
sector_pressure_x_divergence,sector_rotation,,,0,FAIL,family_not_in_horizon
sector_rel_ret_5d,sector_rotation,,,0,FAIL,family_not_in_horizon
sector_volume_surge,sector_rotation,,,0,FAIL,family_not_in_horizon
short_interest_abnormal_1y,short_interest,,,0,FAIL,family_not_in_horizon
short_interest_change,short_interest,,,0,FAIL,family_not_in_horizon
