feature,family,mean_ic,t_stat,sign_consistent_windows,status,excluded_reason
abnormal_off_exchange_shorting,shorting,,,0,FAIL,data_source_block
above_20dma,technical,-0.012907,-1.242859,4,FAIL,
accruals,fundamental,,,0,FAIL,family_not_in_horizon
adx_14,technical,0.01308,1.781558,3,FAIL,
amihud,technical,0.036383,4.621922,4,FAIL,
analyst_coverage,analyst,,,0,FAIL,
asset_growth,fundamental,,,0,FAIL,family_not_in_horizon
atr_14,technical,0.069219,3.672818,4,FAIL,
bb_position,technical,-0.013816,-1.198496,3,FAIL,
bb_width,technical,0.047475,3.445812,4,FAIL,
breadth_momentum,composite,,,0,FAIL,
breadth_pct_above_20dma,composite,-0.014406,-1.3396,4,FAIL,
cci_20,technical,-0.013134,-1.147272,4,FAIL,
close_to_vwap,intraday,-0.013171,-0.995822,2,FAIL,
consensus_upside,analyst_proxy,0.111831,2.729743,2,FAIL,
coverage_change_proxy,analyst_proxy,,,0,FAIL,feature_not_applicable_to_horizon
credit_spread,macro,,,0,FAIL,family_not_in_horizon
credit_spread_change,macro,,,0,FAIL,family_not_in_horizon
credit_widening_x_leverage,composite,-0.017731,-1.90885,5,FAIL,
crowding_unwind_risk,short_interest,,,0,FAIL,family_not_in_horizon
current_ratio,fundamental,,,0,FAIL,family_not_in_horizon
curve_inverted_x_growth,composite,-0.218398,,0,FAIL,
days_since_last_10k,sec_filing,-0.005027,-0.897485,3,FAIL,
days_since_last_10q,sec_filing,0.000563,0.108611,4,FAIL,
days_since_last_8k,sec_filing,0.007357,1.624622,4,FAIL,
debt_to_equity,fundamental,,,0,FAIL,family_not_in_horizon
dividend_yield,fundamental,,,0,FAIL,family_not_in_horizon
downgrade_count,analyst_proxy,0.007858,1.696949,4,FAIL,
earnings_beat_recency,earnings,-0.003318,-0.503381,3,FAIL,
earnings_beat_recency_30d,earnings,-0.003318,-0.503381,3,FAIL,
earnings_beat_streak,earnings,-0.003816,-0.557789,3,FAIL,
earnings_growth_yoy,fundamental,,,0,FAIL,family_not_in_horizon
