feature_name,domain,ic,rank_ic,icir,abs_ic,n_obs,n_dates,n_tickers,passed
abnormal_off_exchange_shorting,shorting,,,,,0,0,503,False
above_20dma,technical,-0.01587,-0.01587,-2.709739,0.01587,0,0,503,True
accruals,fundamental,,,,,0,0,503,False
adx_14,technical,-0.002143,-0.002143,-0.459705,0.002143,0,0,503,False
amihud,technical,0.016777,0.016777,3.63552,0.016777,0,0,503,True
analyst_coverage,analyst,,,,,0,0,503,False
asset_growth,fundamental,,,,,0,0,503,False
atr_14,technical,0.02645,0.02645,2.584452,0.02645,0,0,503,True
bb_position,technical,-0.016126,-0.016126,-2.434974,0.016126,0,0,503,True
bb_width,technical,0.013705,0.013705,1.871976,0.013705,0,0,503,False
breadth_momentum,composite,,,,,0,0,503,False
breadth_pct_above_20dma,composite,-0.016207,-0.016207,-2.686391,0.016207,0,0,503,True
cci_20,technical,-0.016253,-0.016253,-2.46538,0.016253,0,0,503,True
close_to_vwap,intraday,-0.010582,-0.010582,-1.566583,0.010582,0,0,503,False
consensus_upside,analyst_proxy,,,,,0,0,503,False
coverage_change_proxy,analyst_proxy,,,,,0,0,503,False
credit_spread,macro,,,,,0,0,503,False
credit_spread_change,macro,,,,,0,0,503,False
credit_widening_x_leverage,composite,-0.008273,-0.008273,-1.37024,0.008273,0,0,503,False
crowding_unwind_risk,short_interest,,,,,0,0,503,False
current_ratio,fundamental,,,,,0,0,503,False
curve_inverted_x_growth,composite,0.005394,0.005394,0.545346,0.005394,0,0,503,False
days_since_last_10k,sec_filing,,,,,0,0,503,False
days_since_last_10q,sec_filing,,,,,0,0,503,False
days_since_last_8k,sec_filing,,,,,0,0,503,False
debt_to_equity,fundamental,,,,,0,0,503,False
dividend_yield,fundamental,,,,,0,0,503,False
downgrade_count,analyst_proxy,,,,,0,0,503,False
earnings_beat_recency,earnings,-0.0012,-0.0012,-0.375003,0.0012,0,0,503,False
earnings_beat_recency_30d,earnings,-0.0012,-0.0012,-0.375003,0.0012,0,0,503,False
earnings_beat_streak,earnings,0.000307,0.000307,0.091172,0.000307,0,0,503,False
earnings_growth_yoy,fundamental,,,,,0,0,503,False
