feature_name,domain,ic,rank_ic,icir,abs_ic,n_obs,n_dates,n_tickers,passed
abnormal_off_exchange_shorting,shorting,,,,,0,0,503,False
above_20dma,technical,-0.016243,-0.016243,-2.419895,0.016243,0,0,503,False
accruals,fundamental,,,,,0,0,503,False
adx_14,technical,0.001867,0.001867,0.36475,0.001867,0,0,503,False
amihud,technical,0.000242,0.000242,0.047691,0.000242,0,0,503,False
analyst_coverage,analyst,,,,,0,0,503,False
asset_growth,fundamental,,,,,0,0,503,False
atr_14,technical,0.026288,0.026288,2.419269,0.026288,0,0,503,True
bb_position,technical,-0.021043,-0.021043,-2.786825,0.021043,0,0,503,True
bb_width,technical,0.012669,0.012669,1.542339,0.012669,0,0,503,False
breadth_momentum,composite,,,,,0,0,503,False
breadth_pct_above_20dma,composite,-0.016679,-0.016679,-2.418331,0.016679,0,0,503,True
cci_20,technical,-0.020517,-0.020517,-2.751106,0.020517,0,0,503,True
close_to_vwap,intraday,-0.012921,-0.012921,-1.735736,0.012921,0,0,503,False
consensus_upside,analyst_proxy,,,,,0,0,503,False
coverage_change_proxy,analyst_proxy,,,,,0,0,503,False
credit_spread,macro,,,,,0,0,503,False
credit_spread_change,macro,,,,,0,0,503,False
credit_widening_x_leverage,composite,-0.005501,-0.005501,-0.907684,0.005501,0,0,503,False
crowding_unwind_risk,short_interest,,,,,0,0,503,False
current_ratio,fundamental,,,,,0,0,503,False
curve_inverted_x_growth,composite,0.030687,0.030687,2.844529,0.030687,0,0,503,False
days_since_last_10k,sec_filing,,,,,0,0,503,False
days_since_last_10q,sec_filing,,,,,0,0,503,False
days_since_last_8k,sec_filing,,,,,0,0,503,False
debt_to_equity,fundamental,,,,,0,0,503,False
dividend_yield,fundamental,,,,,0,0,503,False
downgrade_count,analyst_proxy,,,,,0,0,503,False
earnings_beat_recency,earnings,,,,,0,0,503,False
earnings_beat_recency_30d,earnings,,,,,0,0,503,False
earnings_beat_streak,earnings,,,,,0,0,503,False
earnings_growth_yoy,fundamental,,,,,0,0,503,False
earnings_surprise_avg_4q,earnings,,,,,0,0,503,False
earnings_surprise_latest,earnings,,,,,0,0,503,False
earnings_surprise_recency,earnings,,,,,0,0,503,False
earnings_surprise_recency_20d,earnings,,,,,0,0,503,False
eps_revision_direction,analyst,,,,,0,0,503,False
eps_surprise,fundamental,,,,,0,0,503,False
ev_ebitda,fundamental,,,,,0,0,503,False
fcf_mom_20d,composite,-0.012089,-0.012089,-2.184029,0.012089,0,0,503,False
fcf_yield,fundamental,,,,,0,0,503,False
ffr,macro,,,,,0,0,503,False
filing_burst_20d,sec_filing,,,,,0,0,503,False
financial_health_trend,analyst_proxy,,,,,0,0,503,False
gap_pct,intraday,0.015971,0.015971,4.231054,0.015971,0,0,503,True
gk_vol,technical,0.020753,0.020753,2.0516,0.020753,0,0,503,False
gross_margin,fundamental,,,,,0,0,503,False
has_recent_8k_5d,sec_filing,,,,,0,0,503,False
high_52w_ratio,technical,-0.019287,-0.019287,-2.064286,0.019287,0,0,503,True
high_vix_x_beta,composite,0.037595,0.037595,1.854125,0.037595,0,0,503,False
idio_vol,technical,0.021692,0.021692,2.27049,0.021692,0,0,503,False
insider_abnormal_buy_90d,insider,,,,,0,0,503,False
insider_buy_intensity_20d,insider,,,,,0,0,503,False
insider_buy_value,insider,,,,,0,0,503,False
insider_cluster_buy,insider,,,,,0,0,503,False
insider_cluster_buy_30d_w,insider,,,,,0,0,503,False
insider_net_buy_ratio,insider,,,,,0,0,503,False
insider_net_intensity_60d,insider,,,,,0,0,503,False
insider_role_skew_30d,insider,,,,,0,0,503,False
intraday_ret,intraday,-0.018184,-0.018184,-2.345445,0.018184,0,0,503,True
large_trade_ratio,trade_microstructure,,,,,0,0,503,False
last_30m_ret,intraday,3.5e-05,3.5e-05,0.005277,3.5e-05,0,0,503,False
late_day_aggressiveness,trade_microstructure,,,,,0,0,503,False
leverage_vol_20d,composite,0.005822,0.005822,1.468468,0.005822,0,0,503,False
liquidity_momentum,composite,-0.017325,-0.017325,-2.13864,0.017325,0,0,503,True
low_52w_ratio,technical,0.006656,0.006656,0.807891,0.006656,0,0,503,False
macd_histogram,technical,-0.015883,-0.015883,-2.424153,0.015883,0,0,503,True
macd_signal,technical,-0.011653,-0.011653,-1.574227,0.011653,0,0,503,False
macro_risk_on,composite,,,,,0,0,503,False
margin_quality_combo,composite,-0.000549,-0.000549,-0.114163,0.000549,0,0,503,False
market_ret_20d,macro,,,,,0,0,503,False
mean_reversion_combo,composite,-0.018475,-0.018475,-2.687758,0.018475,0,0,503,True
mom_vol_adj_20d,composite,-0.017628,-0.017628,-2.320516,0.017628,0,0,503,True
mom_vol_adj_60d,composite,-0.011854,-0.011854,-1.465068,0.011854,0,0,503,False
momentum_rank_20d,technical,-0.017372,-0.017372,-2.116386,0.017372,0,0,503,True
momentum_rank_60d,technical,-0.010834,-0.010834,-1.253876,0.010834,0,0,503,False
narrow_leadership_score,composite,0.010698,0.010698,1.2236,0.010698,0,0,503,False
net_grade_change_20d,analyst_proxy,,,,,0,0,503,False
net_grade_change_5d,analyst_proxy,,,,,0,0,503,False
net_grade_change_60d,analyst_proxy,,,,,0,0,503,False
obv_slope,technical,-0.010932,-0.010932,-2.051269,0.010932,0,0,503,False
off_exchange_volume_ratio,trade_microstructure,,,,,0,0,503,False
offhours_trade_ratio,trade_microstructure,,,,,0,0,503,False
open_30m_ret,intraday,-0.005729,-0.005729,-0.777657,0.005729,0,0,503,False
operating_margin,fundamental,,,,,0,0,503,False
overnight_gap,daily,-0.00532,-0.00532,-0.68659,0.00532,0,0,503,False
overnight_ret,intraday,0.015971,0.015971,4.231054,0.015971,0,0,503,True
pb_ratio,fundamental,,,,,0,0,503,False
pe_ratio,fundamental,,,,,0,0,503,False
pead_setup,earnings,,,,,0,0,503,False
profitability_combo,composite,0.00562,0.00562,1.128821,0.00562,0,0,503,False
ps_ratio,fundamental,,,,,0,0,503,False
quality_value_roa_pe,composite,4.4e-05,4.4e-05,0.006621,4.4e-05,0,0,503,False
quality_value_roe_pb,composite,-0.008386,-0.008386,-1.241174,0.008386,0,0,503,False
realized_vol_1d,intraday,0.019511,0.019511,1.804692,0.019511,0,0,503,False
recent_8k_count_20d,sec_filing,,,,,0,0,503,False
recent_8k_count_5d,sec_filing,,,,,0,0,503,False
recent_8k_count_60d,sec_filing,,,,,0,0,503,False
residual_momentum,technical,-0.01044,-0.01044,-1.201196,0.01044,0,0,503,False
residual_ret_10d,technical,-0.016648,-0.016648,-1.99942,0.016648,0,0,503,False
residual_ret_5d,technical,-0.021254,-0.021254,-2.487315,0.021254,0,0,503,True
ret_10d,technical,-0.019273,-0.019273,-2.414151,0.019273,0,0,503,True
ret_20d,technical,-0.017372,-0.017372,-2.116386,0.017372,0,0,503,True
ret_5d,technical,-0.02647,-0.02647,-3.221744,0.02647,0,0,503,True
ret_60d,technical,-0.010834,-0.010834,-1.253876,0.010834,0,0,503,False
ret_vol_interaction_20d,composite,-0.017325,-0.017325,-2.13864,0.017325,0,0,503,True
ret_vol_interaction_60d,composite,-0.01127,-0.01127,-1.307302,0.01127,0,0,503,False
return_dispersion_20d,composite,-0.018573,-0.018573,-2.147291,0.018573,0,0,503,True
revenue_growth_yoy,fundamental,,,,,0,0,503,False
revenue_revision_pct,analyst,,,,,0,0,503,False
risk_sentiment,composite,,,,,0,0,503,False
roa,fundamental,,,,,0,0,503,False
roe,fundamental,,,,,0,0,503,False
rsi_14,technical,-0.021245,-0.021245,-2.623055,0.021245,0,0,503,True
rsi_28,technical,-0.019584,-0.019584,-2.341108,0.019584,0,0,503,True
sector_pressure,sector_rotation,,,,,0,0,503,False
sector_pressure_x_divergence,sector_rotation,,,,,0,0,503,False
sector_rel_ret_5d,sector_rotation,,,,,0,0,503,False
sector_volume_surge,sector_rotation,,,,,0,0,503,False
short_interest_abnormal_1y,short_interest,,,,,0,0,503,False
short_interest_change,short_interest,,,,,0,0,503,False
short_interest_change_20d,short_interest,,,,,0,0,503,False
short_interest_ratio,short_interest,,,,,0,0,503,False
short_interest_sector_rel,short_interest,,,,,0,0,503,False
short_sale_accel,shorting,,,,,0,0,503,False
short_sale_ratio_1d,shorting,,,,,0,0,503,False
short_sale_ratio_5d,shorting,,,,,0,0,503,False
short_squeeze_setup,short_interest,,,,,0,0,503,False
sp500_breadth,macro,,,,,0,0,503,False
spread_stress,composite,,,,,0,0,503,False
stoch_d,technical,-0.019151,-0.019151,-2.661892,0.019151,0,0,503,True
stoch_k,technical,-0.020142,-0.020142,-2.811267,0.020142,0,0,503,True
stock_beta_252,technical,0.027808,0.027808,2.179535,0.027808,0,0,503,True
stock_vs_sector_20d,sector_rotation,,,,,0,0,503,False
surprise_flip_qoq,earnings,,,,,0,0,503,False
surprise_vs_history,earnings,,,,,0,0,503,False
target_dispersion_proxy,analyst_proxy,,,,,0,0,503,False
target_price_drift,analyst_proxy,,,,,0,0,503,False
trade_imbalance_proxy,trade_microstructure,,,,,0,0,503,False
transactions_count_zscore,intraday,-0.00367,-0.00367,-0.834679,0.00367,0,0,503,False
trend_confirmation,composite,-0.019229,-0.019229,-2.815203,0.019229,0,0,503,True
turnover_rate,technical,0.007885,0.007885,1.236394,0.007885,0,0,503,False
upgrade_count,analyst_proxy,,,,,0,0,503,False
valuation_spread_pb_pe,composite,0.001761,0.001761,0.333311,0.001761,0,0,503,False
value_mom_pb,composite,-0.00981,-0.00981,-1.462418,0.00981,0,0,503,False
value_mom_pe,composite,-0.000328,-0.000328,-0.049435,0.000328,0,0,503,False
vix,macro,,,,,0,0,503,False
vix_change_5d,macro,,,,,0,0,503,False
vix_rank,macro,,,,,0,0,503,False
vol_20d,technical,0.022538,0.022538,2.29252,0.022538,0,0,503,False
vol_60d,technical,0.024568,0.024568,2.348022,0.024568,0,0,503,True
vol_change,technical,-0.000183,-0.000183,-0.038816,0.000183,0,0,503,False
vol_rank,technical,0.022538,0.022538,2.29252,0.022538,0,0,503,False
vol_scaled_reversal_5d,technical,0.020627,0.020627,2.732785,0.020627,0,0,503,True
volume_curve_surprise,intraday,-0.0053,-0.0053,-1.25537,0.0053,0,0,503,False
volume_ratio_20d,technical,-0.002566,-0.002566,-0.734724,0.002566,0,0,503,False
volume_ratio_5d,technical,-0.006715,-0.006715,-2.02184,0.006715,0,0,503,False
volume_surge,daily,-0.005129,-0.005129,-1.448082,0.005129,0,0,503,False
vwap_deviation,technical,-0.017612,-0.017612,-2.650684,0.017612,0,0,503,True
yield_10y,macro,,,,,0,0,503,False
yield_spread_10y2y,macro,,,,,0,0,503,False
