feature,family,mean_ic,t_stat,sign_consistent_windows,status,excluded_reason
abnormal_off_exchange_shorting,shorting,,,0,FAIL,data_source_block
above_20dma,technical,-0.021252,-2.477306,9,PASS,
accruals,fundamental,0.004682,0.591003,7,FAIL,
adx_14,technical,0.020689,2.533973,8,PASS,
amihud,technical,0.043865,4.925347,6,FAIL,
analyst_coverage,analyst,,,0,FAIL,
asset_growth,fundamental,0.006763,0.820657,5,FAIL,
atr_14,technical,0.068035,5.603327,8,PASS,
bb_position,technical,-0.019994,-2.250558,7,PASS,
bb_width,technical,0.044956,4.792203,8,PASS,
breadth_momentum,composite,,,0,FAIL,
breadth_pct_above_20dma,composite,-0.023847,-2.703649,9,PASS,
cci_20,technical,-0.01853,-2.077833,8,PASS,
close_to_vwap,intraday,,,0,FAIL,family_not_in_horizon
consensus_upside,analyst_proxy,-0.085219,-4.649252,6,FAIL,
coverage_change_proxy,analyst_proxy,0.004343,0.231971,6,FAIL,
credit_spread,macro,,,0,FAIL,
credit_spread_change,macro,,,0,FAIL,
credit_widening_x_leverage,composite,0.0264,2.737475,6,FAIL,
crowding_unwind_risk,short_interest,-0.008968,-0.959013,6,FAIL,
current_ratio,fundamental,0.027647,3.192972,7,PASS,
curve_inverted_x_growth,composite,0.05779,4.264504,4,FAIL,
days_since_last_10k,sec_filing,-0.006523,-0.829651,7,FAIL,
days_since_last_10q,sec_filing,-0.009447,-1.244848,8,FAIL,
days_since_last_8k,sec_filing,-0.017383,-2.43508,7,PASS,
debt_to_equity,fundamental,0.013698,2.022411,6,FAIL,
dividend_yield,fundamental,-0.013172,-1.597302,6,FAIL,
downgrade_count,analyst_proxy,0.018918,2.334785,6,FAIL,
earnings_beat_recency,earnings,-0.035262,-4.751495,8,PASS,
earnings_beat_recency_30d,earnings,-0.035262,-4.751495,8,PASS,
earnings_beat_streak,earnings,-0.036805,-5.069939,8,PASS,
earnings_growth_yoy,fundamental,0.005548,0.684893,8,FAIL,
earnings_surprise_avg_4q,earnings,0.011113,1.471659,4,FAIL,
earnings_surprise_latest,earnings,0.02888,4.070287,8,PASS,
earnings_surprise_recency,earnings,0.021343,2.97845,7,PASS,
earnings_surprise_recency_20d,earnings,0.015862,2.249952,7,PASS,
eps_revision_direction,analyst,-0.033829,-2.91639,4,FAIL,
eps_surprise,fundamental,0.026293,3.431699,6,FAIL,
ev_ebitda,fundamental,0.031865,3.279923,5,FAIL,
fcf_mom_20d,composite,-0.022597,-2.467136,10,PASS,
fcf_yield,fundamental,-0.018008,-2.169948,6,FAIL,
ffr,macro,,,0,FAIL,
filing_burst_20d,sec_filing,-0.018184,-2.549143,4,FAIL,
financial_health_trend,analyst_proxy,-0.001217,-0.138218,4,FAIL,
gap_pct,intraday,,,0,FAIL,family_not_in_horizon
gk_vol,technical,0.062696,5.266211,8,PASS,
gross_margin,fundamental,-0.032416,-4.302661,6,FAIL,
has_recent_8k_5d,sec_filing,0.004215,0.614595,6,FAIL,
high_52w_ratio,technical,-0.052863,-5.282296,9,PASS,
high_vix_x_beta,composite,0.052359,2.485046,7,PASS,
idio_vol,technical,0.042658,3.879352,7,PASS,
insider_abnormal_buy_90d,insider,0.022581,1.97164,6,FAIL,
insider_buy_intensity_20d,insider,-0.018643,-3.044342,7,PASS,
