feature,family,mean_ic,t_stat,sign_consistent_windows,status,excluded_reason
abnormal_off_exchange_shorting,shorting,,,0,FAIL,data_source_block
above_20dma,technical,-0.018874,-2.210733,4,FAIL,
accruals,fundamental,-0.009836,-2.106756,4,FAIL,
adx_14,technical,-0.00378,-0.558648,3,FAIL,
amihud,technical,0.004448,0.579789,3,FAIL,
analyst_coverage,analyst,-0.166618,-1.203851,1,FAIL,
asset_growth,fundamental,0.02805,3.826288,4,FAIL,
atr_14,technical,0.051959,3.314268,4,FAIL,
bb_position,technical,-0.017085,-1.779705,4,FAIL,
bb_width,technical,0.029909,2.822076,4,FAIL,
breadth_momentum,composite,,,0,FAIL,
breadth_pct_above_20dma,composite,-0.019695,-2.288966,4,FAIL,
cci_20,technical,-0.018798,-1.958906,4,FAIL,
close_to_vwap,intraday,,,0,FAIL,family_not_in_horizon
consensus_upside,analyst_proxy,-0.01648,-2.287157,4,FAIL,
coverage_change_proxy,analyst_proxy,-0.004481,-0.610315,3,FAIL,
credit_spread,macro,,,0,FAIL,
credit_spread_change,macro,,,0,FAIL,
credit_widening_x_leverage,composite,-0.024234,-2.669232,4,FAIL,
crowding_unwind_risk,short_interest,0.022018,4.745584,6,FAIL,
current_ratio,fundamental,0.01834,1.892165,4,FAIL,
curve_inverted_x_growth,composite,0.010154,0.920305,3,FAIL,
days_since_last_10k,sec_filing,-0.002801,-0.525897,4,FAIL,
days_since_last_10q,sec_filing,-0.018902,-4.752868,6,FAIL,
days_since_last_8k,sec_filing,-0.000591,-0.137003,4,FAIL,
debt_to_equity,fundamental,-0.025978,-4.216327,4,FAIL,
dividend_yield,fundamental,-0.047737,-4.257233,4,FAIL,
downgrade_count,analyst_proxy,0.001465,0.321335,4,FAIL,
earnings_beat_recency,earnings,-0.007306,-1.763898,5,FAIL,
earnings_beat_recency_30d,earnings,-0.007306,-1.763898,5,FAIL,
earnings_beat_streak,earnings,-0.010906,-2.859477,4,FAIL,
earnings_growth_yoy,fundamental,0.029809,5.992087,5,FAIL,
earnings_surprise_avg_4q,earnings,-0.015696,-3.075367,5,FAIL,
earnings_surprise_latest,earnings,-0.001824,-0.335142,3,FAIL,
earnings_surprise_recency,earnings,-0.00653,-1.209732,3,FAIL,
earnings_surprise_recency_20d,earnings,-0.005765,-1.125303,4,FAIL,
eps_revision_direction,analyst,-0.007318,-3.561023,4,FAIL,
eps_surprise,fundamental,-0.002406,-0.425541,3,FAIL,
