feature,family,mean_ic,t_stat,sign_consistent_windows,status,excluded_reason
abnormal_off_exchange_shorting,shorting,,,0,FAIL,data_source_block
above_20dma,technical,-0.020962,-1.852384,5,FAIL,
accruals,fundamental,,,0,FAIL,family_not_in_horizon
adx_14,technical,-0.002534,-0.274984,2,FAIL,
amihud,technical,-0.003414,-0.322353,4,FAIL,
analyst_coverage,analyst,,,0,FAIL,family_not_in_horizon
asset_growth,fundamental,,,0,FAIL,family_not_in_horizon
atr_14,technical,0.01598,0.748257,4,FAIL,
bb_position,technical,-0.021456,-1.727094,5,FAIL,
bb_width,technical,0.00874,0.567643,4,FAIL,
breadth_momentum,composite,,,0,FAIL,
breadth_pct_above_20dma,composite,-0.024368,-2.105874,5,FAIL,
cci_20,technical,-0.019456,-1.575321,5,FAIL,
close_to_vwap,intraday,-0.011484,-0.925537,3,FAIL,
consensus_upside,analyst_proxy,,,0,FAIL,family_not_in_horizon
coverage_change_proxy,analyst_proxy,,,0,FAIL,family_not_in_horizon
credit_spread,macro,,,0,FAIL,family_not_in_horizon
credit_spread_change,macro,,,0,FAIL,family_not_in_horizon
credit_widening_x_leverage,composite,0.000466,0.02914,3,FAIL,
crowding_unwind_risk,short_interest,,,0,FAIL,family_not_in_horizon
current_ratio,fundamental,,,0,FAIL,family_not_in_horizon
curve_inverted_x_growth,composite,0.01686,1.642783,3,FAIL,
days_since_last_10k,sec_filing,,,0,FAIL,family_not_in_horizon
days_since_last_10q,sec_filing,,,0,FAIL,family_not_in_horizon
days_since_last_8k,sec_filing,,,0,FAIL,family_not_in_horizon
debt_to_equity,fundamental,,,0,FAIL,family_not_in_horizon
dividend_yield,fundamental,,,0,FAIL,family_not_in_horizon
downgrade_count,analyst_proxy,,,0,FAIL,family_not_in_horizon
earnings_beat_recency,earnings,0.001377,0.21234,4,FAIL,
earnings_beat_recency_30d,earnings,0.001377,0.21234,4,FAIL,
earnings_beat_streak,earnings,0.007198,1.075995,4,FAIL,
earnings_growth_yoy,fundamental,,,0,FAIL,family_not_in_horizon
earnings_surprise_avg_4q,earnings,0.003432,0.47986,3,FAIL,
earnings_surprise_latest,earnings,0.00997,1.477719,4,FAIL,
earnings_surprise_recency,earnings,0.005755,0.907653,4,FAIL,
earnings_surprise_recency_20d,earnings,0.006123,0.970913,4,FAIL,
eps_revision_direction,analyst,,,0,FAIL,family_not_in_horizon
eps_surprise,fundamental,,,0,FAIL,family_not_in_horizon
ev_ebitda,fundamental,,,0,FAIL,family_not_in_horizon
fcf_mom_20d,composite,-0.003761,-0.383222,3,FAIL,
fcf_yield,fundamental,,,0,FAIL,family_not_in_horizon
ffr,macro,,,0,FAIL,family_not_in_horizon
filing_burst_20d,sec_filing,,,0,FAIL,family_not_in_horizon
financial_health_trend,analyst_proxy,,,0,FAIL,family_not_in_horizon
gap_pct,intraday,0.010263,2.64724,5,FAIL,
gk_vol,technical,0.011702,0.584679,4,FAIL,
gross_margin,fundamental,,,0,FAIL,family_not_in_horizon
has_recent_8k_5d,sec_filing,,,0,FAIL,family_not_in_horizon
high_52w_ratio,technical,-0.002579,-0.17016,2,FAIL,
high_vix_x_beta,composite,0.014382,0.320407,2,FAIL,
idio_vol,technical,0.009312,0.549303,3,FAIL,
insider_abnormal_buy_90d,insider,,,0,FAIL,family_not_in_horizon
insider_buy_intensity_20d,insider,,,0,FAIL,family_not_in_horizon
insider_buy_value,insider,,,0,FAIL,family_not_in_horizon
insider_cluster_buy,insider,,,0,FAIL,family_not_in_horizon
insider_cluster_buy_30d_w,insider,,,0,FAIL,family_not_in_horizon
insider_net_buy_ratio,insider,,,0,FAIL,family_not_in_horizon
insider_net_intensity_60d,insider,,,0,FAIL,family_not_in_horizon
insider_role_skew_30d,insider,,,0,FAIL,family_not_in_horizon
intraday_ret,intraday,-0.0215,-1.7022,3,FAIL,
large_trade_ratio,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
last_30m_ret,intraday,-0.01747,-1.763574,5,FAIL,
late_day_aggressiveness,trade_microstructure,,,0,FAIL,sample_disabled_pipeline
leverage_vol_20d,composite,0.001675,0.191334,2,FAIL,
liquidity_momentum,composite,-0.017983,-1.279114,4,FAIL,
low_52w_ratio,technical,0.013687,0.807079,4,FAIL,
macd_histogram,technical,-0.031958,-2.494034,5,FAIL,
macd_signal,technical,-0.003816,-0.27683,2,FAIL,
